Country Code,join_year
AFG,2023
ALB,2017
DZA,2018
AGO,2018
ATG,2018
ARG,2022
ARM,2015
AUT,
AZE,2015
BHR,2018
BGD,2019
BRB,2019
BLR,2013
BEN,2018
BOL,2018
BIH,2017
BWA,2021
BRN,2018
BGR,2015
BDI,2018
CPV,2018
KHM,2013
CMR,2015
CAF,2021
TCD,2018
CHL,2018
CHN,2013
COL,2025
COM,2015
COD,
COG,2021
COK,2018
CRI,2018
CIV,2017
HRV,2017
CUB,2019
CYP,2019
DOM,2019
CZE,2015
DJI,2018
DMA,2018
ECU,2018
EGY,2016
SLV,2018
GNQ,2019
ERI,2021
EST,2017
ETH,2018
FJI,2018
GAB,2018
GMB,2018
GEO,2016
GHA,2018
GRC,2018
GRD,2018
GIN,2018
GNB,2021
GUY,2018
HND,2023
HUN,2015
IDN,2015
IRN,2018
IRQ,2015
ITA,2019
JAM,2019
JOR,2023
KAZ,2015
KEN,2017
KIR,2020
KOR,2018
KWT,2018
KGZ,2013
LAO,2018
LVA,2016
LBN,2017
LSO,2019
LBR,2019
LBY,2018
LTU,2017
LUX,2019
MDG,2017
MWI,2022
MYS,2017
MDV,2017
MLI,2019
MLT,2018
MRT,2018
FSM,2018
MDA,2013
MNG,2013
MNE,2017
MAR,2017
MOZ,2018
MMR,2016
NAM,2018
NPL,2017
NZL,2017
NIC,2022
NER,
NGA,2018
NIU,2018
MKD,2013
OMN,2018
PAK,2013
PAN,2017
PNG,2016
PER,2019
PHL,2017
POL,2015
PRT,2018
QAT,2019
ROU,2015
RUS,
RWA,2018
WSM,2018
SAU,2018
SEN,2018
SRB,2015
SYC,2018
SLE,2018
SGP,2018
SVK,2015
SVN,2017
SLB,2019
SOM,2015
ZAF,2015
SSD,2018
LKA,2017
SDN,2018
SUR,2018
SYR,2022
TJK,2018
TZA,2018
THA,2014
TLS,2017
TGO,2018
TON,2018
TTO,2018
TUN,2018
TUR,2015
TKM,2017
UGA,2018
UKR,2017
ARE,2018
URY,2018
UZB,2015
VUT,2018
VEN,2018
VNM,2017
YEM,2017
ZMB,2018
ZWE,2018
